name,resource-group,vnet-name,subnet,location,subnet-address-prefix,image,admin-username,admin-password
vm-tst-dev-koreacentral-001,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-002,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-003,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-004,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-005,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-006,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-007,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-008,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-009,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-dev-koreacentral-010,dev-test,vnet-tst-dev-koreacentral-001,snet-tst-dev-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-001,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-002,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-003,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-004,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-005,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-006,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-007,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-008,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-009,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
vm-tst-prod-koreacentral-010,prod-test,vnet-tst-prod-koreacentral-001,snet-tst-prod-koreacentral-001,koreacentral,10.0.0.0/24,UbuntuLTS,adminquest,adminquest!234
