display-name,password,force-change-password-next-login,user-principal-name
dev01,Quest!@#$,TRUE,dev01@jhsoft.onmicrosoft.com
dev02,Quest!@#$,TRUE,dev02@jhsoft.onmicrosoft.com
dev03,Quest!@#$,TRUE,dev03@jhsoft.onmicrosoft.com
dev04,Quest!@#$,TRUE,dev04@jhsoft.onmicrosoft.com
dev05,Quest!@#$,TRUE,dev05@jhsoft.onmicrosoft.com
dev06,Quest!@#$,TRUE,dev06@jhsoft.onmicrosoft.com
dev07,Quest!@#$,TRUE,dev07@jhsoft.onmicrosoft.com
dev08,Quest!@#$,TRUE,dev08@jhsoft.onmicrosoft.com
dev09,Quest!@#$,TRUE,dev09@jhsoft.onmicrosoft.com
dev10,Quest!@#$,TRUE,dev10@jhsoft.onmicrosoft.com
